cui1,rel,cui2_raw,cui2_resolved,rela,sab,cui2_name
C0001144,RO,A31698358,C0039644,may_treat,MED-RT,tetracycline
C0001144,RO,A31646879,C0040845,may_treat,MED-RT,tretinoin
C0001144,RO,A16791846,C0052761,may_treat,MED-RT,azelaic acid
C0001144,RO,A16788058,C0055880,may_treat,MED-RT,clindamycin palmitate
C0001144,RO,A18542397,C0055881,may_treat,MED-RT,clindamycin phosphate
C0001144,RO,A10337078,C0055923,may_treat,MED-RT,clomocycline
C0001144,RO,A31653806,C0057558,may_treat,MED-RT,desogestrel
C0001144,RO,A31671675,C0059561,may_treat,MED-RT,erythromycin gluceptate
C0001144,RO,A16788066,C0059562,may_treat,MED-RT,erythromycin lactobionate
C0001144,RO,A16796752,C0059566,may_treat,MED-RT,erythromycin stearate
C0001144,RO,A16795549,C0068980,may_treat,MED-RT,norethindrone acetate
C0001144,RO,A16794309,C0068981,may_treat,MED-RT,norethindrone enanthate
C0001144,RO,A10337762,C0073085,may_treat,MED-RT,resorcinol
C0001144,RO,A10338066,C0165631,may_treat,MED-RT,adapalene
C0001144,RO,A31713485,C0282105,may_treat,MED-RT,clindamycin hydrochloride
C0001144,RO,A31643844,C0282125,may_treat,MED-RT,demeclocycline hydrochloride
C0001144,RO,A31765583,C0282277,may_treat,MED-RT,oxytetracycline calcium
C0001144,RO,A10338575,C0288792,may_treat,MED-RT,tazarotene
C0001144,RO,A31749240,C0301352,may_treat,MED-RT,colloid sulfur
C0001144,RO,A31662498,C0304311,may_treat,MED-RT,clindamycin palmitate hydrochloride
C0001144,RO,A31750434,C0350817,may_treat,MED-RT,clomocycline sodium
C0001144,RO,A30077557,C0521901,may_treat,MED-RT,tetracycline phosphate complex
C0001144,RO,A17034693,C0546879,may_treat,MED-RT,tetracycline hydrochloride
C0001144,RO,A31636290,C0724561,may_treat,MED-RT,"sulfur, colloidal"
C0001144,RO,A16788286,C0724711,may_treat,MED-RT,tretinoin microsphere
C0001144,RO,A31741123,C0770438,may_treat,MED-RT,potassium salicylate
C0001144,RO,A31671582,C0772169,may_treat,MED-RT,erythromycin stinoprate
C0001144,RO,A31758557,C0772198,may_treat,MED-RT,tetracycline trihydrate
C0001144,RO,A31689305,C0795642,may_treat,MED-RT,magnesium salicylate tetrahydrate
C0001144,RO,A31637320,C0887052,may_treat,MED-RT,oxytetracycline dihydrate
C0001144,RO,A24117490,C2698682,may_treat,MED-RT,oxytetracycline anhydrous
C0001144,RO,A29796984,C2699951,may_treat,MED-RT,tioxolone
C0001144,RO,A31216583,C4519213,may_treat,MED-RT,trifarotene
C0001144,RO,A31670405,C4519292,may_treat,MED-RT,sarecycline
C0001144,RO,A29797818,C4727747,may_treat,MED-RT,sarecycline hydrochloride
C0001175,RO,A31725549,C0012132,may_treat,MED-RT,zalcitabine
C0001175,RO,A31638436,C0012133,may_treat,MED-RT,didanosine
C0001175,RO,A31729502,C0021734,contraindicated_with_disease,MED-RT,interferon alfa-2a
C0001175,RO,A31764170,C0021735,contraindicated_with_disease,MED-RT,interferon alfa-2b
