cui1,rel,cui2,rela,sab
C0001403,RO,A31641692,contraindicated_with_disease,MED-RT
C0001403,RO,A10337702,contraindicated_with_disease,MED-RT
C0001403,RO,A31645050,contraindicated_with_disease,MED-RT
C0001403,RO,A29793215,may_treat,MED-RT
C0001403,RO,A24635339,contraindicated_with_disease,MED-RT
C0001403,RO,A16796978,contraindicated_with_disease,MED-RT
C0001403,RO,A16790800,contraindicated_with_disease,MED-RT
C0001403,RO,A31758106,contraindicated_with_disease,MED-RT
C0001403,RO,A31688383,contraindicated_with_disease,MED-RT
C0001403,RO,A31741126,may_treat,MED-RT
C0001403,RO,A31637275,contraindicated_with_disease,MED-RT
C0001403,RO,A31632521,contraindicated_with_disease,MED-RT
C0001403,RO,A32635095,may_treat,MED-RT
C0001403,RO,A31702001,contraindicated_with_disease,MED-RT
C0001403,RO,A31737766,contraindicated_with_disease,MED-RT
C0001403,RO,A29473731,contraindicated_with_disease,MED-RT
C0001403,RO,A30081953,contraindicated_with_disease,MED-RT
C0001407,RO,A0051521,has_contraindicated_drug,MED-RT
C0001407,RO,A30275370,therapeutic_class_of,MED-RT
C0001418,RO,A31660138,may_treat,MED-RT
C0001418,RO,A31629109,may_treat,MED-RT
C0001418,RO,A16791844,may_treat,MED-RT
C0001418,RO,A31728697,may_treat,MED-RT
C0001418,RO,A31681892,may_treat,MED-RT
C0001418,RO,A31460482,may_treat,MED-RT
C0001430,RO,A31756224,may_treat,MED-RT
C0001430,RO,A31660823,may_treat,MED-RT
C0001430,RO,A10336978,may_treat,MED-RT
C0001430,RO,A31214314,may_treat,MED-RT
C0001430,RO,A31636293,may_treat,MED-RT
C0001443,RO,A31685414,contraindicated_class_of,MED-RT
C0001443,RO,A31654185,contraindicated_class_of,MED-RT
C0001443,RO,A28935620,therapeutic_class_of,MED-RT
C0001443,RO,A0027665,has_contraindicated_drug,MED-RT
C0001443,RO,A0027669,has_contraindicated_drug,MED-RT
C0001443,RO,A0051521,has_contraindicated_drug,MED-RT
C0001443,RO,A0066389,has_contraindicated_drug,MED-RT
C0001443,RO,A0081249,has_contraindicated_drug,MED-RT
C0001443,RO,A0116372,has_contraindicated_drug,MED-RT
C0001443,RO,A0245083,has_contraindicated_drug,MED-RT
C0001443,RO,A28940496,has_contraindicated_physiologic_effect,MED-RT
