itemid,label,category,fluid
50969,"Phenytoin, Percent Free",Chemistry,Blood
50970,Phosphate,Chemistry,Blood
53189,Platelet Count,Chemistry,Blood
52610,Potassium,Chemistry,Blood
50971,Potassium,Chemistry,Blood
51705,Primidone,Chemistry,Blood
51706,Problem Specimen,Chemistry,Blood
50972,Procainamide,Chemistry,Blood
51707,Progesterone,Chemistry,Blood
50973,Prolactin,Chemistry,Blood
50974,Prostate Specific Antigen,Chemistry,Blood
50975,Protein Electrophoresis,Chemistry,Blood
50976,"Protein, Total",Chemistry,Blood
53096,"Protein, Total",Chemistry,Blood
51708,Qnthbsab,Chemistry,Blood
51709,Quantitative RPR Test,Chemistry,Blood
50977,Quinidine,Chemistry,Blood
53165,RDW-CV,Chemistry,Blood
53166,RDW-SD,Chemistry,Blood
51773,RFXFRKL,Chemistry,Blood
51774,RFXHCV,Chemistry,Blood
51722,RFXLDLM,Chemistry,Blood
51769,RUBIgGV,Chemistry,Blood
50978,Rapamycin,Chemistry,Blood
51710,Rapid Plasma Reagin Test,Chemistry,Blood
50979,Red Top Hold,Chemistry,Blood
51712,Referred,Chemistry,Blood
51713,Reflex Confirmatory Hepatitis C Viral Load,Chemistry,Blood
51714,Reflex HIV Confirmation,Chemistry,Blood
53167,Reflex RPR,Chemistry,Blood
51715,Renin,Chemistry,Blood
51717,Reserved,Chemistry,Blood
51718,Reserved1,Chemistry,Blood
51719,Reserved3,Chemistry,Blood
51720,Reserved4,Chemistry,Blood
51721,Reverse T3,Chemistry,Blood
50980,Rheumatoid Factor,Chemistry,Blood
51723,Rubella,Chemistry,Blood
51724,Rubella IgG Ab,Chemistry,Blood
51725,Rubeola IgG Ab,Chemistry,Blood
51726,Rubeola IgG Ab Value,Chemistry,Blood
51732,STX1,Chemistry,Blood
51733,STX2,Chemistry,Blood
51734,STX3,Chemistry,Blood
51735,STX4,Chemistry,Blood
51736,STX5,Chemistry,Blood
51737,STX6,Chemistry,Blood
50981,Salicylate,Chemistry,Blood
51727,Send Out,Chemistry,Blood
51728,Serum B12,Chemistry,Blood
51729,Serum B12,Chemistry,Blood
51730,Serum Folate,Chemistry,Blood
50982,Sex Hormone Binding Globulin,Chemistry,Blood
51731,Single Stranded DNA,Chemistry,Blood
50983,Sodium,Chemistry,Blood
52623,Sodium,Chemistry,Blood
50984,Stat,Chemistry,Blood
50985,Study Tubes,Chemistry,Blood
50988,Testosterone,Chemistry,Blood
50989,"Testosterone, Free",Chemistry,Blood
50990,Theophylline,Chemistry,Blood
50991,Thyroglobulin,Chemistry,Blood
51738,Thyroid Binding Globulin,Chemistry,Blood
50992,Thyroid Peroxidase Antibodies,Chemistry,Blood
50993,Thyroid Stimulating Hormone,Chemistry,Blood
50994,Thyroxine (T4),Chemistry,Blood
50995,"Thyroxine (T4), Free",Chemistry,Blood
50996,"Tissue Transglutaminase Ab, IgA",Chemistry,Blood
50997,Tobramycin,Chemistry,Blood
51739,Total CO2,Chemistry,Blood
51740,Toxic Screen,Chemistry,Blood
51741,Toxoplasma IgG Ab,Chemistry,Blood
51742,Toxoplasma IgG Ab Value,Chemistry,Blood
51743,Toxoplasma IgM Ab,Chemistry,Blood
51744,Toxoplasma IgM Ab Value,Chemistry,Blood
51745,Toxoplasma Interpretation,Chemistry,Blood
50998,Transferrin,Chemistry,Blood
51746,Transferrin Saturation,Chemistry,Blood
51748,Treponema pallidum (Syphilis) Ab,Chemistry,Blood
51749,Treponema pallidum (syphilis) value,Chemistry,Blood
51747,Treponemal Antibody Test,Chemistry,Blood
50999,Tricyclic Antidepressant Screen,Chemistry,Blood
51000,Triglycerides,Chemistry,Blood
51001,Triiodothyronine (T3),Chemistry,Blood
51002,Troponin I,Chemistry,Blood
52642,Troponin I,Chemistry,Blood
51003,Troponin T,Chemistry,Blood
51004,"UE3, Maternal Screen",Chemistry,Blood
51750,"UE3, Multiples of Median",Chemistry,Blood
51751,Uncon Bil,Chemistry,Blood
51005,Uptake Ratio,Chemistry,Blood
52647,Urea Nitrogen,Chemistry,Blood
51006,Urea Nitrogen,Chemistry,Blood
51007,Uric Acid,Chemistry,Blood
51753,VZV IgG Ab,Chemistry,Blood
51754,VZV IgG Ab Value,Chemistry,Blood
51008,Valproic Acid,Chemistry,Blood
51009,Vancomycin,Chemistry,Blood
51010,Vitamin B12,Chemistry,Blood
51752,Voided Specimen,Chemistry,Blood
51755,White Blood Cells,Chemistry,Blood
51756,White Blood Cells,Chemistry,Blood
51757,Xxx,Chemistry,Blood
51758,Xylose,Chemistry,Blood
51759,Z,Chemistry,Blood
51760,Z,Chemistry,Blood
51761,Zinc,Chemistry,Blood
51613,eAG,Chemistry,Blood
50986,tacroFK,Chemistry,Blood
52170, Rbc,Hematology,Blood
53182,% Parasitemia,Hematology,Blood
52068,24 Hr,Hematology,Blood
51135,ADP,Hematology,Blood
51141,APT Test,Hematology,Blood
52079,ASA Tol,Hematology,Blood
52081,ASD & NA-F,Hematology,Blood
52215,ATLFlg,Hematology,Blood
52214,AbnLymp,Hematology,Blood
52069,Absolute Basophil Count,Hematology,Blood
52070,Absolute CD19 Count,Hematology,Blood
52071,Absolute CD20 Count,Hematology,Blood
51130,Absolute CD3 Count,Hematology,Blood
51131,Absolute CD4 Count,Hematology,Blood
52072,Absolute CD56 Count,Hematology,Blood
51132,Absolute CD8 Count,Hematology,Blood
52073,Absolute Eosinophil Count,Hematology,Blood
52769,Absolute Lymphocyte Count,Hematology,Blood
51133,Absolute Lymphocyte Count,Hematology,Blood
52074,Absolute Monocyte Count,Hematology,Blood
52075,Absolute Neutrophil Count,Hematology,Blood
51134,Acanthocytes,Hematology,Blood
52076,Acid Phosphatase Stain,Hematology,Blood
52077,Acidserum,Hematology,Blood
51136,Alpha Antiplasmin,Hematology,Blood
51137,Anisocytosis,Hematology,Blood
51138,Anticardiolipin Antibody IgG,Hematology,Blood
51139,Anticardiolipin Antibody IgM,Hematology,Blood
51140,Antithrombin,Hematology,Blood
52078,Antithrombin III,Hematology,Blood
51142,Arachadonic Acid,Hematology,Blood
52080,Asd,Hematology,Blood
52082,Aspirin Reactivity,Hematology,Blood
51143,Atypical Lymphocytes,Hematology,Blood
52083,Autohem+g,Hematology,Blood
52084,Autohem-g,Hematology,Blood
51144,Bands,Hematology,Blood
52208,BasoFlg,Hematology,Blood
51145,Basophilic Stippling,Hematology,Blood
51146,Basophils,Hematology,Blood
51147,Bite Cells,Hematology,Blood
52217,Bl/AbLy,Hematology,Blood
52216,BlasFlg,Hematology,Blood
51148,Blasts,Hematology,Blood
52086,Bleed Tm,Hematology,Blood
52085,Bleed Tm,Hematology,Blood
51149,Bleeding Time,Hematology,Blood
52786,Bleeding Time,Hematology,Blood
51150,Blood Parasite Smear,Hematology,Blood
53181,CBC Only,Hematology,Blood
52088,CD 1a,Hematology,Blood
51152,CD10,Hematology,Blood
51153,CD103,Hematology,Blood
51154,CD117,Hematology,Blood
51155,CD11c,Hematology,Blood
51156,CD13,Hematology,Blood
51157,CD138,Hematology,Blood
51158,CD14,Hematology,Blood
51159,CD15,Hematology,Blood
52087,CD15/56,Hematology,Blood
51161,CD16,Hematology,Blood
51162,CD16/56 Absolute Count,Hematology,Blood
51163,CD16/56%,Hematology,Blood
51164,CD19,Hematology,Blood
51165,CD19 %,Hematology,Blood
51166,CD19 Absolute Count,Hematology,Blood
51167,CD2,Hematology,Blood
51168,CD20,Hematology,Blood
51169,CD20 %,Hematology,Blood
51170,CD20 Absolute Count,Hematology,Blood
51171,CD22,Hematology,Blood
51172,CD23,Hematology,Blood
51173,CD25,Hematology,Blood
51174,CD3 %,Hematology,Blood
51175,CD3 Absolute Count,Hematology,Blood
51176,"CD3 Cells, Percent",Hematology,Blood
52089,CD30,Hematology,Blood
51177,CD33,Hematology,Blood
51178,CD34,Hematology,Blood
51179,CD38,Hematology,Blood
51180,"CD4 Cells, Percent",Hematology,Blood
51181,CD4/CD8 Ratio,Hematology,Blood
51182,CD41,Hematology,Blood
52090,CD42,Hematology,Blood
51183,CD45,Hematology,Blood
51184,CD5,Hematology,Blood
51185,CD5 %,Hematology,Blood
51186,CD5 Absolute Count,Hematology,Blood
52091,CD52,Hematology,Blood
51187,CD55,Hematology,Blood
51188,CD56,Hematology,Blood
52092,CD56 %,Hematology,Blood
52093,CD56 Absolute Count,Hematology,Blood
51189,CD57,Hematology,Blood
51190,CD59,Hematology,Blood
52094,CD61,Hematology,Blood
52095,CD62,Hematology,Blood
51191,CD64,Hematology,Blood
51192,CD7,Hematology,Blood
51193,CD71,Hematology,Blood
51194,"CD8 Cells, Percent",Hematology,Blood
52096,Chloroacetate,Hematology,Blood
52097,Circ Ab,Hematology,Blood
52098,Clot Lysis,Hematology,Blood
52099,Clot Retraction,Hematology,Blood
52100,Clot Time,Hematology,Blood
51195,Collagen,Hematology,Blood
52101,Cr,Hematology,Blood
52102,Crenated Cells,Hematology,Blood
52103,Cross Imm,Hematology,Blood
52104,Cryoglob,Hematology,Blood
51196,D-Dimer,Hematology,Blood
52110,DSmear,Hematology,Blood
52105,Direct Antiplatelet Antibodies,Hematology,Blood
52106,Donath-l,Hematology,Blood
52111,Echinocytes,Hematology,Blood
51197,Elliptocytes,Hematology,Blood
51198,Envelope Cells,Hematology,Blood
52209,EosFlg,Hematology,Blood
51199,Eosinophil Count,Hematology,Blood
51200,Eosinophils,Hematology,Blood
51201,Epinepherine,Hematology,Blood
52198,ErytFlg,Hematology,Blood
52112,Euglobulin Lysis,Hematology,Blood
51215,FMC-7,Hematology,Blood
52838,Factor II,Hematology,Blood
51202,Factor II,Hematology,Blood
52840,Factor IX,Hematology,Blood
51203,Factor IX,Hematology,Blood
52113,Factor IX Inhibitor,Hematology,Blood
51204,Factor V,Hematology,Blood
52842,Factor V,Hematology,Blood
52844,Factor VII,Hematology,Blood
51205,Factor VII,Hematology,Blood
52846,Factor VIII,Hematology,Blood
51206,Factor VIII,Hematology,Blood
52114,Factor VIII Antigen,Hematology,Blood
51207,Factor VIII Inhibitor,Hematology,Blood
52849,Factor X,Hematology,Blood
51208,Factor X,Hematology,Blood
51209,Factor XI,Hematology,Blood
52851,Factor XI,Hematology,Blood
52853,Factor XII,Hematology,Blood
51210,Factor XII,Hematology,Blood
52855,Factor XIII,Hematology,Blood
51211,Factor XIII,Hematology,Blood
51212,Fetal Hemoglobin,Hematology,Blood
52858,Fibrin Degradation Products,Hematology,Blood
51213,Fibrin Degradation Products,Hematology,Blood
52115,Fibrinoge,Hematology,Blood
52116,Fibrinogen,Hematology,Blood
51214,"Fibrinogen, Functional",Hematology,Blood
