CUI1,CUI2,RELA,SAB,CUI1_name,CUI2_name
C0005320,C0020649,contraindicated_with_disease,MED-RT,betaxolol,Hypotension
C0005320,C0034063,contraindicated_with_disease,MED-RT,betaxolol,Pulmonary Edema
C0005320,C0036980,contraindicated_with_disease,MED-RT,betaxolol,"Shock, Cardiogenic"
C0005404,C0020445,may_treat,MED-RT,bile salts,"Hypercholesterolemia, Familial"
C0005575,C0042850,may_treat,MED-RT,biotin,Vitamin B Deficiency
C0005578,C0021843,contraindicated_with_disease,MED-RT,biperiden,Intestinal Obstruction
C0005578,C0025162,contraindicated_with_disease,MED-RT,biperiden,"Megacolon, Toxic"
C0005632,C0003615,contraindicated_with_disease,MED-RT,bisacodyl,Appendicitis
C0005632,C0009806,may_treat,MED-RT,bisacodyl,Constipation
C0005632,C0011991,contraindicated_with_disease,MED-RT,bisacodyl,Diarrhea
C0005632,C0021843,contraindicated_with_disease,MED-RT,bisacodyl,Intestinal Obstruction
C0005640,C0001973,contraindicated_with_disease,MED-RT,dicumarol,"Alcoholic Intoxication, Chronic"
C0005640,C0002940,contraindicated_with_disease,MED-RT,dicumarol,Aneurysm
C0005640,C0013537,contraindicated_with_disease,MED-RT,dicumarol,Eclampsia
C0005640,C0023418,contraindicated_with_disease,MED-RT,dicumarol,leukemia
C0005640,C0023895,contraindicated_with_disease,MED-RT,dicumarol,Liver diseases
C0005640,C0032914,contraindicated_with_disease,MED-RT,dicumarol,Pre-Eclampsia
C0005640,C0033575,contraindicated_with_disease,MED-RT,dicumarol,Prostatic Diseases
