CUI1,CUI2,RELA,SAB
C0007541,C0014836,may_treat,MED-RT
C0007541,C0042029,may_treat,MED-RT
C0007545,C0004623,may_prevent,MED-RT
C0007545,C0004623,may_treat,MED-RT
C0007546,C0004623,may_prevent,MED-RT
C0007546,C0004623,may_treat,MED-RT
C0007546,C0014836,may_treat,MED-RT
C0007546,C0042029,may_treat,MED-RT
C0007550,C0004623,may_treat,MED-RT
C0007550,C0014836,may_treat,MED-RT
C0007552,C0004623,may_prevent,MED-RT
C0007552,C0004623,may_treat,MED-RT
C0007552,C0014836,may_treat,MED-RT
C0007552,C0036117,may_treat,MED-RT
C0007552,C0042029,may_treat,MED-RT
C0007554,C0004623,may_prevent,MED-RT
C0007554,C0004623,may_treat,MED-RT
C0007554,C0014836,may_treat,MED-RT
C0007554,C0018081,may_treat,MED-RT
C0007554,C0031154,may_treat,MED-RT
C0007554,C0036117,may_treat,MED-RT
C0007554,C0042029,may_treat,MED-RT
C0007554,C0242172,may_treat,MED-RT
C0007555,C0004623,may_prevent,MED-RT
C0007555,C0004623,may_treat,MED-RT
C0007555,C0014836,may_treat,MED-RT
C0007555,C0018081,may_treat,MED-RT
C0007555,C0031154,may_treat,MED-RT
C0007555,C0042029,may_treat,MED-RT
C0007556,C0004623,may_prevent,MED-RT
C0007556,C0004623,may_treat,MED-RT
C0007557,C0004623,may_prevent,MED-RT
C0007557,C0004623,may_treat,MED-RT
C0007557,C0014836,may_treat,MED-RT
C0007557,C0018081,may_treat,MED-RT
C0007557,C0031154,may_treat,MED-RT
C0007557,C0042029,may_treat,MED-RT
C0007558,C0004623,may_prevent,MED-RT
C0007559,C0004623,may_prevent,MED-RT
C0007559,C0004623,may_treat,MED-RT
C0007559,C0014836,may_treat,MED-RT
C0007559,C0027947,may_treat,MED-RT
C0007559,C0042029,may_treat,MED-RT
C0007560,C0004623,may_prevent,MED-RT
C0007560,C0004623,may_treat,MED-RT
C0007560,C0014836,may_treat,MED-RT
C0007560,C0018081,may_treat,MED-RT
C0007560,C0042029,may_treat,MED-RT
C0007560,C0242172,may_treat,MED-RT
C0007561,C0004623,may_prevent,MED-RT
C0007561,C0004623,may_treat,MED-RT
C0007561,C0007947,may_treat,MED-RT
C0007561,C0014534,may_treat,MED-RT
C0007561,C0014836,may_treat,MED-RT
C0007561,C0016977,contraindicated_with_disease,MED-RT
C0007561,C0018081,may_treat,MED-RT
C0007561,C0024198,may_treat,MED-RT
C0007561,C0029882,may_treat,MED-RT
C0007561,C0031154,may_treat,MED-RT
C0007561,C0036117,may_treat,MED-RT
C0007561,C0042029,may_treat,MED-RT
C0007562,C0004623,may_prevent,MED-RT
C0007562,C0004623,may_treat,MED-RT
C0007562,C0014836,may_treat,MED-RT
C0007562,C0018081,may_treat,MED-RT
C0007562,C0021099,may_treat,MED-RT
C0007562,C0024198,may_treat,MED-RT
C0007562,C0042029,may_treat,MED-RT
C0007716,C0004623,may_prevent,MED-RT
C0007716,C0004623,may_treat,MED-RT
C0007716,C0014836,may_treat,MED-RT
C0007716,C0029882,may_treat,MED-RT
C0007716,C0042029,may_treat,MED-RT
C0007735,C0014836,may_treat,MED-RT
C0007735,C0042029,may_treat,MED-RT
C0007737,C0014836,may_treat,MED-RT
C0007737,C0042029,may_treat,MED-RT
C0007738,C0004623,may_prevent,MED-RT
C0007738,C0004623,may_treat,MED-RT
C0007738,C0014836,may_treat,MED-RT
C0007738,C0042029,may_treat,MED-RT
C0007955,C0011991,may_treat,MED-RT
C0007955,C0016204,may_prevent,MED-RT
C0007955,C0016204,may_treat,MED-RT
C0007955,C0041948,may_treat,MED-RT
C0008024,C0023895,contraindicated_with_disease,MED-RT
C0008024,C0030305,contraindicated_with_disease,MED-RT
C0008161,C0017152,contraindicated_with_disease,MED-RT
C0008161,C0085605,contraindicated_with_disease,MED-RT
C0008163,C0019829,may_treat,MED-RT
